radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
3,4,1,spoc,1756.01,2.001922,2.782912,3756.0,55.585021999999995,696.4006929999999,0.0,13.88,3.1473609458411542,35.792980838875664,212724.16279447768,0.00016826006208545694,364074068.0,,,
3,4,1,spoc,1763.01,1.974957,3.7978739999999998,3520.0,22.374602,554.700529,0.0,15.63,3.1005095875480064,30.371722408562782,1098610.5593638702,2.7645576632859744e-05,441739871.0,,,
3,4,1,spoc,2072.01,2.314762,3.167896,3546.0,19.599420000000002,536.636931,0.0,13.7965,4.257818179604384,,107630.58538243755,,900715901.0,,,
3,4,2,spoc,2018.01,2.6050869999999997,7.4371149999999995,4218.9,26.068541,576.300415,0.0,10.25,3.1638730589161286,133.62191291516586,7434.843400410681,0.017972391040245037,357501308.0,1.0,1.0,
3,4,2,spoc,1260.02,2.675979,7.491237,4225.0,32.221743,607.654902,0.0,11.922,3.3071315286022562,50.07784521357754,31740.005003003113,0.0015777516483957508,355867695.0,2.0,2.0,
3,4,2,spoc,1782.01,2.564396,4.987638,4336.0,56.046246999999994,697.840843,0.0,12.329,3.45340120164505,45.42040934366884,42346.33751188368,0.0010725935703630209,160045097.0,3.0,3.0,
3,4,2,spoc,2075.01,2.102872,4.798307,4065.0,47.339728,669.000109,0.0,12.389,2.5995983680662285,38.25265624911033,78976.41483762745,0.0004843554411498212,23814735.0,,4.0,
3,4,2,spoc,1749.01,2.067921,4.488976,3959.0,36.155621999999994,625.4084,0.0,13.86,2.839578265659495,29.91911497121015,256567.85268744233,0.00011661287514324096,233602827.0,,5.0,
3,4,2,spoc,1749.02,2.310225,9.044417,3959.0,14.207951999999999,495.16805300000004,0.0,13.86,2.7142341850733334,27.358613303604113,280811.7617453968,9.742687818186655e-05,233602827.0,,,
3,4,2,spoc,2083.01,2.5675169999999996,17.969235,4410.0,14.15787,494.73112000000003,0.0,12.872,2.235490463225314,18.386099334643202,166634.25465994232,0.00011033805367428507,233633993.0,,,
3,4,3,,HD 97658 b,2.354,9.4909,5175.0,49.48884798862418,,1.0,,2.904666565597138,143.4654782411454,,,,3.0,,
3,4,3,spoc,461.01,2.56584,14.490034,4884.0,29.483107,594.310035,0.0,9.78,2.4033506111283747,78.54607168802012,8357.486079121014,0.0093982892635917,4646810.0,1.0,1.0,
3,4,3,spoc,1184.01,2.39336,5.748418,4534.0,57.763164,703.1249240000001,0.0,10.988,2.840018894147351,69.90177139641321,18208.218970462593,0.003839022998889018,233087860.0,2.0,3.0,
3,4,3,spoc,1255.01,2.550421,10.288910000000001,5126.0,59.759036,709.121488,0.0,9.92,2.298211450872631,64.43672249193753,10397.524630353004,0.006197313762915304,237222864.0,,2.0,
3,4,3,spoc,1453.01,2.312694,6.588694,4920.0,64.237718,722.0500059999999,0.0,11.113,2.3660270859190398,57.211954046772796,29435.437972469015,0.0019436420174988793,198390247.0,,5.0,
