radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
4,3,3,spoc,1449.01,4.756218,24.71039,5780.0,18.781017000000002,530.9449900000001,0.0,12.52,6.352528198627286,120.63056309986764,14921.645674447987,0.008084266690934561,356158613.0,3.0,,
4,3,3,qlp,1136.01,4.71512,12.51781,5729.0,77.6679,827.0,0.0,9.534,5.413105790168992,111.40499250301701,1313.4601372562856,0.08481794714815878,142276270.0,1.0,2.0,
4,3,3,qlp,1710.01,5.40603,24.28313,5675.0,35.7097,681.0,0.0,9.545,5.560878897426333,108.2765325219448,1257.2540741625978,0.08612144096177464,445805961.0,2.0,1.0,
4,3,3,spoc,1471.01,4.282738,20.772024,5625.56,81.617867,766.595136,0.0,9.2,3.96921728454939,102.62148825873498,1795.974551122871,0.057139722940157726,306263608.0,,3.0,
4,3,3,spoc,2123.01,4.244428,10.316187,5432.0,66.728461,728.949641,0.0,10.237,5.107955943199322,99.55868484214545,2818.4844344418325,0.035323482232344446,105840719.0,,4.0,
4,3,3,,K2-32 b,4.96,8.991828,5415.0,77.7,,1.0,,5.620645096162379,84.40661288967537,,,,,,
4,3,3,,HD 106315 c,4.35,21.05704,6327.0,83.0,,1.0,,3.329231530322456,77.87625526219799,,,,,,
4,3,3,spoc,1136.03,4.037326999999999,26.321864,5729.0,30.940040000000003,601.519853,0.0,9.534,3.255495070185569,71.37382048505343,3631.4146572629597,0.019654549871440108,142276270.0,,,
4,3,3,spoc,1239.01,4.6962720000000004,12.640098,5217.0,39.654726000000004,640.019917,0.0,11.628,5.930103272963001,67.55315126696831,7529.834187979015,0.008971399579397561,154716798.0,,,
4,3,3,spoc,1554.01,5.975876,9.435260000000001,5450.4,96.578429,799.5392410000001,0.0,12.02,9.287745268773408,66.96181050917993,4404.426174308401,0.015203299558016662,299158887.0,,,
4,3,3,spoc,1744.01,4.333054,22.342014000000002,6179.0,62.906016,718.27838,0.0,9.543,3.5368772077537316,65.54003035468405,3102.2011998087287,0.02112694378389288,229455001.0,,,
4,3,3,,K2-24 b,5.4,20.889770000000002,5625.0,60.1,,1.0,,4.2244520032872925,62.81397834748086,,,,,,
4,3,3,spoc,1275.01,4.291723,11.324682000000001,5518.0,59.170609999999996,707.369388,0.0,11.234000000000002,4.979583861394161,62.72412023051592,7428.888237463814,0.008443271486330723,13499636.0,,,
4,3,3,qlp,1817.01,5.96855,6.69695,6131.3,98.3875,877.0,0.0,11.079,9.2153901342757,50.72525175075669,1880.539562808689,0.026973775374869405,285094173.0,,5.0,
4,3,3,,K2-19 c,4.86,11.90715,5430.0,73.1,,1.0,,4.681550733907171,41.40781661694186,,,,,,
4,3,3,qlp,2039.01,5.4829099999999995,11.24886,6308.0,79.0204,830.0,0.0,11.099,6.430629677699035,39.71909414547247,3933.715302852469,0.010097094244891292,237071229.0,,,
4,3,3,spoc,1261.01,4.006873000000001,18.055717,5897.0,58.132270999999996,704.245486,0.0,11.207,3.547936154052839,37.06153992610754,14274.415505333798,0.002596361294951732,356311210.0,,,
4,3,3,spoc,2181.01,5.190318,16.78004,5574.0,44.381538,658.294668,0.0,12.779000000000002,5.961257568117316,29.230517176505803,21509.690063507867,0.0013589464604186305,233068569.0,,,
4,3,3,,Kepler-11 e,4.19,31.9996,5663.0,32.34,,1.0,,1.6587394190709777,18.550176735580763,,,,,,
4,3,3,,Kepler-359 c,4.3,57.688019999999995,6248.0,17.438348679160164,,1.0,,0.4405718415225488,17.05941828619701,,,,,,
